week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_lessons,total_completed_passages_discrete_sets,score_trends_on_completed_dailies,num_attended_large_session,num_scheduled_large_session,num_attended_small_session,num_scheduled_small_session,class_participation,homework_participation
1,9/2/24,9/8/24,1,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,2,,,,8,0,0,,,,,,
1,9/2/24,9/8/24,3,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,4,,,,4,0,0,,,,,,
1,9/2/24,9/8/24,5,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,6,,,,5,0,0,,,,,,
1,9/2/24,9/8/24,7,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,8,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,9,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,10,,,,3,0,0,,,,,,
1,9/2/24,9/8/24,11,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,12,,0.33,,2,3,0,,,,,,
1,9/2/24,9/8/24,13,,,,2,0,0,,,,,,
1,9/2/24,9/8/24,14,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,15,,,,1,0,0,,,,,,
1,9/2/24,9/8/24,16,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,1,,,,2,0,0,,,,,,
2,9/9/24,9/15/24,2,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,3,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,4,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,5,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,6,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,7,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,8,,0.52,,6,3,0.52,,,,,,
2,9/9/24,9/15/24,9,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,10,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,11,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,12,,0.67,,1,2,0.66,,,,,,
2,9/9/24,9/15/24,13,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,14,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,15,,,,1,0,0,,,,,,
2,9/9/24,9/15/24,16,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,1,,0.84,,5,1,0.84,,,,,,
3,9/16/24,9/22/24,2,,,,3,0,0,,,,,,
3,9/16/24,9/22/24,3,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,4,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,5,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,6,,0.76,,1,2,0.76,,,,,,
3,9/16/24,9/22/24,7,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,8,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,9,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,10,,0.44,,1,1,0,,,,,,
3,9/16/24,9/22/24,11,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,12,,,,1,3,0,,,,,,
3,9/16/24,9/22/24,13,,0.56,,2,1,0,,,,,,
3,9/16/24,9/22/24,14,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,15,,,,1,0,0,,,,,,
3,9/16/24,9/22/24,16,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,1,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,2,,,,16,0,0,,,,,,
4,9/23/24,9/29/24,3,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,4,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,5,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,6,,0.79,,3,3,0.79,,,,,,
4,9/23/24,9/29/24,7,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,8,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,9,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,10,,0.52,,1,3,0,,,,,,
4,9/23/24,9/29/24,11,,0.43,,5,2,0.43,,,,,,
4,9/23/24,9/29/24,12,,0.6,,1,1,0.64,,,,,,
4,9/23/24,9/29/24,13,,0.48,,1,1,0.56,,,,,,
4,9/23/24,9/29/24,14,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,15,,,,1,0,0,,,,,,
4,9/23/24,9/29/24,16,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,1,,0.3,,1,2,0.59,,,,,,
5,9/30/24,10/6/24,2,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,3,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,4,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,5,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,6,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,7,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,8,,0.7,,7,1,0.7,,,,,,
5,9/30/24,10/6/24,9,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,10,,,,5,1,0.5,,,,,,
5,9/30/24,10/6/24,11,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,12,,0.6,,1,2,0.6,,,,,,
5,9/30/24,10/6/24,13,,0.64,,1,2,0.72,,,,,,
5,9/30/24,10/6/24,14,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,15,,,,1,0,0,,,,,,
5,9/30/24,10/6/24,16,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,1,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,2,,,,8,0,0,,,,,,
6,10/7/24,10/13/24,3,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,4,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,5,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,6,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,7,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,8,,,,3,0,0,,,,,,
6,10/7/24,10/13/24,9,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,10,,,,3,0,0,,,,,,
6,10/7/24,10/13/24,11,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,12,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,13,,,,1,0,0.48,,,,,,
6,10/7/24,10/13/24,14,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,15,,,,1,0,0,,,,,,
6,10/7/24,10/13/24,16,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,1,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,2,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,3,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,4,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,5,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,6,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,7,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,8,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,9,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,10,,,,3,0,0,,,,,,
7,10/14/24,10/20/24,11,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,12,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,13,,,,3,0,0.55,,,,,,
7,10/14/24,10/20/24,14,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,15,,,,1,0,0,,,,,,
7,10/14/24,10/20/24,16,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,1,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,2,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,3,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,4,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,5,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,6,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,7,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,8,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,9,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,10,1,,,3,2,1,,,,,,
8,10/21/24,10/27/24,11,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,12,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,13,,,,2,0,0,,,,,,
8,10/21/24,10/27/24,14,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,15,,,,1,0,0,,,,,,
8,10/21/24,10/27/24,16,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,1,,,,1,1,0,,,,,,
9,10/28/24,11/3/24,2,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,3,,,,1,1,0,,,,,,
9,10/28/24,11/3/24,4,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,5,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,6,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,7,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,8,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,9,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,10,0.8,,,1,2,0.4,,,,,,
9,10/28/24,11/3/24,11,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,12,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,13,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,14,,,,1,0,0,,,,,,
9,10/28/24,11/3/24,15,,,,1,1,0,,,,,,
9,10/28/24,11/3/24,16,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,1,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,2,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,3,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,4,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,5,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,6,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,7,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,8,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,9,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,10,0.67,,,1,2,0.74,,,,,,
10,11/4/24,11/10/24,11,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,12,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,13,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,14,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,15,,,,1,0,0,,,,,,
10,11/4/24,11/10/24,16,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,1,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,2,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,3,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,4,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,5,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,6,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,7,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,8,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,9,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,10,,0.6,,1,3,0.6,,,,,,
11,11/11/24,11/17/24,11,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,12,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,13,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,14,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,15,,,,1,0,0,,,,,,
11,11/11/24,11/17/24,16,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,1,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,2,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,3,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,4,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,5,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,6,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,7,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,8,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,9,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,10,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,11,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,12,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,13,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,14,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,15,,,,1,0,0,,,,,,
12,11/18/24,11/24/24,16,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,1,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,2,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,3,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,4,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,5,,,,5,0,0,,,,,,
13,11/25/24,12/1/24,6,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,7,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,8,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,9,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,10,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,11,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,12,,0.5,,1,1,0.5,,,,,,
13,11/25/24,12/1/24,13,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,14,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,15,,,,1,0,0,,,,,,
13,11/25/24,12/1/24,16,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,1,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,2,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,3,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,4,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,5,,,,8,0,0,,,,,,
14,12/2/24,12/8/24,6,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,7,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,8,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,9,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,10,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,11,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,12,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,13,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,14,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,15,,,,1,0,0,,,,,,
14,12/2/24,12/8/24,16,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,1,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,2,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,3,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,4,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,5,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,6,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,7,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,8,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,9,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,10,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,11,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,12,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,13,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,14,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,15,,,,1,0,0,,,,,,
15,12/9/24,12/15/24,16,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,1,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,2,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,3,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,4,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,5,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,6,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,7,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,8,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,9,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,10,,,,1,1,0,,,,,,
16,12/16/24,12/22/24,11,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,12,,0.65,,1,2,0.5,,,,,,
16,12/16/24,12/22/24,13,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,14,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,15,,,,1,0,0,,,,,,
16,12/16/24,12/22/24,16,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,1,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,2,,,,10,0,0,,,,,,
17,12/23/24,12/29/24,3,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,4,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,5,,,,285,0,0,,,,,,
17,12/23/24,12/29/24,6,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,7,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,8,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,9,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,10,1,,,1,1,1,,,,,,
17,12/23/24,12/29/24,11,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,12,,,,1,2,0,,,,,,
17,12/23/24,12/29/24,13,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,14,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,15,,,,1,0,0,,,,,,
17,12/23/24,12/29/24,16,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,1,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,2,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,3,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,4,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,5,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,6,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,7,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,8,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,9,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,10,0.92,,,2,3,0.92,,,,,,
18,12/30/24,1/5/25,11,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,12,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,13,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,14,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,15,,,,1,0,0,,,,,,
18,12/30/24,1/5/25,16,,,,1,0,0,,,,,,
19,1/6/25,1/12/25,1,,0.89,,2,9,0.49,1,1,,,0,1
19,1/6/25,1/12/25,2,,0.98,1,22,11,0.98,1,1,,,1,1
19,1/6/25,1/12/25,3,,,,12,0,0,0,1,,,0,0
19,1/6/25,1/12/25,4,,,,1,0,0,0,1,,,0,0
19,1/6/25,1/12/25,5,,0.98,1,178,16,0.8,1,1,,,0.5,1
19,1/6/25,1/12/25,6,,1,1,11,7,0.57,1,1,,,0.5,0.666666667
19,1/6/25,1/12/25,7,,,,1,0,0,1,1,,,0,0
19,1/6/25,1/12/25,8,,1,,6,1,1,1,1,,,0,0
19,1/6/25,1/12/25,9,,,,4,1,0,1,1,,,0,0
19,1/6/25,1/12/25,10,,0.6,,1,5,0.12,1,1,,,0,0.333333333
19,1/6/25,1/12/25,11,,1,1,1,4,0.5,1,1,,,0.5,0
19,1/6/25,1/12/25,12,,0.8,1,1,10,0.56,1,1,,,0.5,1
19,1/6/25,1/12/25,13,,0.49,1,1,8,0.43,1,1,,,0.5,0.666666667
19,1/6/25,1/12/25,14,,,,1,0,0,0,1,,,0,0
19,1/6/25,1/12/25,15,,,,1,1,0,1,1,,,0,0
19,1/6/25,1/12/25,16,,0.87,1,6,18,0.82,1,1,,,0.5,1
20,1/13/25,1/19/25,1,0.67,0.63,1,5,6,0.55,1,1,,,1,
20,1/13/25,1/19/25,2,1,1,1,1,4,1,1,1,,,1,
20,1/13/25,1/19/25,3,0.5,0.89,1,6,8,0.83,1,1,,,1,
20,1/13/25,1/19/25,4,,,,1,0,0,0,1,,,0,
20,1/13/25,1/19/25,5,,1,1,1,2,1,1,1,,,1,
20,1/13/25,1/19/25,6,,,,8,0,1,1,1,,,0,
20,1/13/25,1/19/25,7,,,,1,1,0,1,1,,,0,
20,1/13/25,1/19/25,8,,0.86,,5,8,0.86,1,1,,,0,
20,1/13/25,1/19/25,9,,,,1,2,0,1,1,,,0,
20,1/13/25,1/19/25,10,0.42,0.5,0.5,1,3,0,1,1,,,1,
20,1/13/25,1/19/25,11,0.67,1,1,1,2,0.84,1,1,,,1,
20,1/13/25,1/19/25,12,0.58,0.9,1,1,6,0.71,1,1,,,1,
20,1/13/25,1/19/25,13,0.5,0,0,1,2,0.25,1,1,,,1,
20,1/13/25,1/19/25,14,,,,1,0,0,0,1,,,0,
20,1/13/25,1/19/25,15,,,,1,2,0,1,1,,,0,
20,1/13/25,1/19/25,16,0.67,1,1,10,3,0.84,1,1,,,1,
21,1/20/25,1/26/25,1,,0.26,0,5,3,0.26,1,1,,,1,0
21,1/20/25,1/26/25,2,,1,1,10,5,1,1,1,,,1,0
21,1/20/25,1/26/25,3,,,,10,1,0,1,1,,,0,0
21,1/20/25,1/26/25,4,,,,1,0,0,1,1,,,0,0
21,1/20/25,1/26/25,5,,0.5,0.5,1,2,0.67,1,1,,,1,0
21,1/20/25,1/26/25,6,,0.94,,8,4,0.96,1,1,,,0,0.333333333
21,1/20/25,1/26/25,7,,,,1,0,0,1,1,,,0,0
21,1/20/25,1/26/25,8,,,,2,0,0,1,1,,,0,0
21,1/20/25,1/26/25,9,,0.35,,1,1,0,1,1,,,0,0
21,1/20/25,1/26/25,10,0.67,,,1,2,0,1,1,,,0,0
21,1/20/25,1/26/25,11,,0.84,1,3,2,0.84,1,1,,,1,0
21,1/20/25,1/26/25,12,,0.68,1,1,4,0.9,1,1,,,1,0
21,1/20/25,1/26/25,13,,0.25,,1,2,0.25,1,1,,,0,0.333333333
21,1/20/25,1/26/25,14,,,,1,0,0,1,1,,,0,0
21,1/20/25,1/26/25,15,,,,1,1,0,1,1,,,0,0
21,1/20/25,1/26/25,16,,0.68,1,16,9,0.68,1,1,,,1,0.666666667
22,1/27/25,2/2/25,1,,,,1,1,0,1,1,,,,
22,1/27/25,2/2/25,2,,1,,10,3,1,1,1,,,,
22,1/27/25,2/2/25,3,,,,2,2,0.66,0,1,,,,
22,1/27/25,2/2/25,4,,,,1,0,0,1,1,,,,
22,1/27/25,2/2/25,5,,,,1,0,0,1,1,,,,
22,1/27/25,2/2/25,6,,,,5,0,0.92,1,1,,,,
22,1/27/25,2/2/25,7,,,,1,0,0,1,1,,,,
22,1/27/25,2/2/25,8,,0.25,,1,1,0.25,1,1,,,,
22,1/27/25,2/2/25,9,,,,1,1,0.35,1,1,,,,
22,1/27/25,2/2/25,10,,,,1,0,0.5,1,1,,,,
22,1/27/25,2/2/25,11,,0.8,,9,1,0.8,1,1,,,,
22,1/27/25,2/2/25,12,,0.57,,1,7,0.8,1,1,,,,
22,1/27/25,2/2/25,13,,0.33,,1,3,0.33,1,1,,,,
22,1/27/25,2/2/25,14,,,,1,0,0,1,1,,,,
22,1/27/25,2/2/25,15,,,,1,0,0,1,1,,,,
22,1/27/25,2/2/25,16,,0.73,,4,10,0.73,1,1,,,,
23,2/3/25,2/9/25,1,0.67,0.6,,4,2,0.64,1,1,,,,
23,2/3/25,2/9/25,2,,,,8,0,0,1,1,,,,
23,2/3/25,2/9/25,3,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,4,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,5,,1,,1,5,1,1,1,,,,
23,2/3/25,2/9/25,6,,1,,3,2,1,1,1,,,,
23,2/3/25,2/9/25,7,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,8,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,9,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,10,0.33,,,1,1,0.33,1,1,,,,
23,2/3/25,2/9/25,11,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,12,0.42,1,,1,9,0.48,1,1,,,,
23,2/3/25,2/9/25,13,0.25,0.28,,1,7,0.27,1,1,,,,
23,2/3/25,2/9/25,14,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,15,,,,1,0,0,1,1,,,,
23,2/3/25,2/9/25,16,,,,1,0,0,1,1,,,,
